dataset,method,seed,ACC,NMI,ARI,n_iter
AwA2,KMeans,0,0.8315040650406504,0.9152570328310666,0.7986974193372461,44
AwA2,KMeans,1,0.8665650406504065,0.9301568086035287,0.8277121621657363,36
AwA2,KMeans,2,0.8384146341463414,0.9210302733399385,0.802708008519182,18
AwA2,KMeans,3,0.8429878048780488,0.9198544678895912,0.80887176627719,26
AwA2,KMeans,4,0.8410569105691057,0.9230771276541351,0.8127808357266784,24
