dataset,method,seed,ACC,NMI,ARI,n_iter
MFeat,KMeans,0,0.786,0.8049136321690674,0.7232629990358477,13
MFeat,KMeans,1,0.905,0.8367047010075044,0.8045103881129749,17
MFeat,KMeans,2,0.7845,0.802471636115286,0.7191663292681546,13
MFeat,KMeans,3,0.7765,0.802965702001263,0.7185314984615935,31
MFeat,KMeans,4,0.7905,0.8117308356975066,0.7365775871507243,14
