Epoch,Loss,ACC,NMI,PUR,ARI
201,97.39825570903334,0.499,0.5087189068224824,0.499,0.3500985183439833
202,91.00081052344615,0.5585,0.567861130167949,0.57,0.42760364009178686
203,80.16463628697575,0.622,0.6355826606240731,0.6245,0.5124923706502859
204,75.24384292593165,0.6615,0.6430629643047191,0.6615,0.49828179282897755
205,70.67852302111788,0.7355,0.6925276762742416,0.7355,0.5675792245480087
206,67.07275344248471,0.8135,0.7424365841297196,0.8135,0.6592156555133178
207,64.16414594139299,0.867,0.7955087214293353,0.867,0.740578338505106
208,61.7875606326097,0.885,0.828970128896261,0.885,0.7811238993106417
209,60.16031078234233,0.8505,0.8231895429203976,0.8505,0.7679974723440062
210,59.5813129817339,0.8705,0.8363979521749053,0.8705,0.7812964648959683
211,58.788540992460455,0.8605,0.8353793360568251,0.8605,0.7840513425125935
212,58.19500572422773,0.8565,0.8408369163453971,0.8565,0.7880324535797116
213,57.80413384121159,0.8645,0.8505547138799373,0.8645,0.7967237055406674
214,57.529264620586495,0.8595,0.8554203190724655,0.8595,0.8016010366519399
215,57.24565943823715,0.8585,0.8550026968791369,0.859,0.8007784530131095
216,57.12268314594047,0.8625,0.8594667811863369,0.8625,0.807946402524813
217,56.92324640633761,0.8615,0.8577509305292754,0.8615,0.8050352512510517
218,56.76582772715058,0.867,0.8629312915628795,0.867,0.8112888625688904
219,56.756438103338574,0.8625,0.8602294148552627,0.8625,0.8076376023306722
220,56.481856620251826,0.8655,0.8661063267135541,0.8655,0.8142490219815591
221,56.44200761073046,0.8615,0.857016484148577,0.8615,0.8014136421071507
222,56.091617948893806,0.865,0.8611423104774641,0.865,0.8088260369865399
223,55.997497021026625,0.86,0.8574963802226591,0.86,0.8038820547275345
224,56.20702907348579,0.858,0.854649679863462,0.858,0.7997869618464272
225,55.91778697294693,0.8565,0.8502130809987951,0.8565,0.7930605495100138
226,55.87571518471407,0.856,0.8536859649249312,0.856,0.7965106066238656
227,55.83608047788822,0.8595,0.8540146206969478,0.8595,0.7974723777082147
228,55.76111899667391,0.855,0.8514265032849171,0.855,0.7933925480349503
229,55.646832456136636,0.8545,0.8513868516264569,0.8545,0.792056250423019
230,55.358721983890625,0.852,0.8491154954481482,0.852,0.7880453429341561
231,55.396336904478744,0.852,0.8455795839997966,0.852,0.7852823225122523
232,55.425495933569344,0.85,0.8476285338233185,0.85,0.7851660868050043
233,55.38654702016752,0.8505,0.8474648534566687,0.8505,0.7850524275002267
234,55.34032825753916,0.8485,0.8468461484603675,0.8485,0.783284045053019
235,55.13178183903238,0.8475,0.843046984429264,0.8475,0.7786538781666009
236,55.080379547940346,0.85,0.8459928535873055,0.85,0.78162295793967
237,55.125852625862414,0.8465,0.8415369277116007,0.8465,0.7774477852729093
238,54.98456516854232,0.846,0.8416384987738907,0.846,0.7745463891373344
239,55.15198716730615,0.842,0.8392514526191927,0.842,0.7716882387158341
240,55.05485652613053,0.8395,0.833928488677896,0.8395,0.7663876137262208
241,54.998103160703536,0.8385,0.8334521302460736,0.8385,0.7646266363383617
242,55.051221526521765,0.839,0.8356349038359964,0.839,0.7663098658806988
243,54.96434843211569,0.842,0.8356320531395823,0.842,0.7681602862414564
244,55.00687287849479,0.839,0.8359437371769294,0.839,0.7666430608569047
245,55.01118585522397,0.8395,0.8336616543537166,0.8395,0.7647144759097592
246,55.1047045542619,0.836,0.830840247330725,0.8365,0.761494800239844
