Epoch,Loss,ACC,NMI,PUR,ARI
201,95.76417193529642,0.3695,0.39848536868668266,0.3825,0.1480121674960415
202,89.17257755408055,0.415,0.41292193096226937,0.4205,0.23300408345866255
203,82.66603136517774,0.4525,0.4469667686148693,0.458,0.2776397350390398
204,78.69033317169081,0.483,0.4855333371482461,0.496,0.29321196060163224
205,75.22277277897642,0.689,0.6511357447105294,0.712,0.515502055153319
206,72.31803639568524,0.735,0.7160472956777697,0.765,0.6106587623269516
207,69.6302813199355,0.715,0.7246496063967877,0.7625,0.6179973893400849
208,66.979540173404,0.7365,0.7141534410472413,0.7585,0.6256383271641262
209,64.96160980126227,0.746,0.7338001600497699,0.7695,0.6462701208903705
210,62.817915087222545,0.7305,0.7337603888293359,0.768,0.6287510297050738
211,61.65293020058808,0.754,0.7596843806804374,0.7915,0.6715052353389991
212,60.493406381634564,0.7735,0.7706980664720502,0.7995,0.6775088382285748
213,59.91698283555382,0.7975,0.791604653448496,0.815,0.7144803155331496
214,59.37224247096468,0.8325,0.8180058032627249,0.8335,0.7473427602918596
215,58.61706609187505,0.8815,0.8460258283982495,0.8815,0.789236121990363
216,58.18692862917163,0.9005,0.8559993668703373,0.9005,0.8101663906002
217,57.76674839863086,0.908,0.8634022138622128,0.908,0.8220281559112431
218,57.495371412496866,0.913,0.8700317010457399,0.913,0.8300667205362426
219,57.27170399900319,0.921,0.8770824045487963,0.921,0.8425658855026353
220,56.964459917760834,0.9175,0.8755431076851378,0.9175,0.8378993899407634
221,56.995578612200006,0.92,0.8769400669431675,0.92,0.8415620746552956
222,56.85765915053795,0.922,0.8783273823204417,0.922,0.845077941870658
223,56.57620644593981,0.9205,0.8743606650167592,0.9205,0.8414957453588718
224,56.48853898646838,0.9225,0.879763000642164,0.9225,0.8458880343283293
225,56.43839774439835,0.919,0.8737481763229603,0.919,0.8390645009552166
226,56.30007552614,0.9195,0.873006681992298,0.9195,0.8403220010270054
227,56.335600881425414,0.9165,0.866575982311869,0.9165,0.8337690794025668
228,56.1492164571062,0.9165,0.8677583426177781,0.9165,0.8345311770262679
229,56.058199442267,0.917,0.8698115286815317,0.917,0.8353220649711716
230,56.18817734554468,0.9165,0.8660766600905374,0.9165,0.8337135284960635
231,56.07161849280952,0.9155,0.8672185415760806,0.9155,0.8328877326407547
232,56.13333601325902,0.914,0.8646426758478355,0.914,0.829873297688451
233,55.94587012194224,0.908,0.8559456519807238,0.908,0.8196005880624828
234,55.863192082676576,0.8995,0.8478507519442654,0.8995,0.8056998690127499
235,55.972653831970966,0.896,0.8445444735092551,0.896,0.8007542475567606
236,55.7500501092386,0.881,0.8353855564105395,0.881,0.7810595104652848
237,55.7055206547406,0.883,0.8385820204463649,0.883,0.7852240920234492
238,55.71843453417061,0.87,0.8318589193808485,0.87,0.7719153017646574
239,55.60551197953392,0.8605,0.8299552408578496,0.8605,0.7662879534129394
240,55.512541660663246,0.853,0.8186765964023447,0.853,0.7482022943182833
241,55.396190139010095,0.8445,0.8146757096072319,0.8445,0.7418746064986664
242,55.42569974481109,0.8435,0.8158292825837609,0.8435,0.7504212291608657
243,55.32272347827979,0.8415,0.8133583086833277,0.8415,0.7446119155247689
244,55.338834556729964,0.8335,0.8090980642471791,0.8335,0.737328591336284
245,55.117980202493776,0.838,0.8114133577794197,0.838,0.7427511819990238
246,55.23807210415053,0.8345,0.8079617690939317,0.8345,0.7411860248102642
247,55.209009203384525,0.832,0.8079666018347672,0.832,0.7386001737140613
248,54.9922788132118,0.833,0.8070264118884238,0.833,0.7380241942539011
249,55.045218388066125,0.833,0.8065207326956784,0.833,0.7375011484999263
250,54.98603848494463,0.8325,0.8079109742485442,0.8325,0.7397374981921144
251,55.008616230177985,0.829,0.812565932163632,0.829,0.7438405183169853
252,54.9037228530417,0.828,0.8005983385408205,0.828,0.7300711560924836
253,54.92001622039668,0.8275,0.8014848895862308,0.8275,0.7330461228009341
254,54.937735231152466,0.825,0.8034301775033346,0.825,0.7303870201552534
255,54.801503097918676,0.829,0.8038158191864964,0.829,0.7347888594935019
256,54.73017666174277,0.825,0.8024791619408762,0.825,0.7317069072989867
257,54.77449296121015,0.827,0.8008849975265586,0.827,0.7312854125634802
258,54.7109100420774,0.8235,0.7989109884319294,0.8235,0.7303948055094595
259,54.60646947245332,0.8205,0.7971341535193905,0.8205,0.7247001460509416
260,54.6966695502709,0.8195,0.7960633785854966,0.8195,0.7267730429400889
261,54.91717938385365,0.82,0.795442791352013,0.82,0.7241308197742886
262,54.68896996286761,0.824,0.7989433200372998,0.824,0.731133196748122
263,54.67067456766357,0.824,0.799323902583066,0.824,0.730407954516701
264,54.68143515483558,0.823,0.7995934436613893,0.823,0.7303299881124924
265,54.580356154240505,0.8195,0.7924942274725231,0.8195,0.7215446338137375
266,54.57275508226202,0.816,0.7915097682383133,0.816,0.7200086706778646
267,54.662213987472306,0.815,0.7852397579841853,0.815,0.7148186383495267
268,54.43736910251586,0.8145,0.7858312808601309,0.8145,0.7143564973747668
269,54.438521843342635,0.8125,0.7852121877741053,0.8125,0.7136586460160208
270,54.361574822308505,0.8135,0.7830253055190912,0.8135,0.7121517051033485
271,54.7184497616252,0.8105,0.7836078482479466,0.8105,0.7122404346492921
272,54.438857891459804,0.81,0.777448799735949,0.81,0.7046030756625571
273,54.45618923578489,0.8095,0.7792941394499872,0.8095,0.708287821986418
274,54.407146153450874,0.8105,0.779985155382443,0.8105,0.7074508294062226
275,54.40987334021478,0.8085,0.7761520623793834,0.8085,0.7046977412398673
276,54.38290561471208,0.8095,0.7782839092617634,0.8095,0.7061540374837996
277,54.3711453132712,0.8135,0.7780926389663708,0.8135,0.7079230937979261
278,54.39507987019105,0.807,0.7743626423958625,0.807,0.70254579207433
279,54.193074735448526,0.8045,0.7694986924791373,0.8045,0.6970490028033741
280,54.41529827697139,0.801,0.7658192425525152,0.801,0.6915237112960901
281,54.35427819755368,0.802,0.7681084021390219,0.802,0.6954669911434022
282,54.33121306767661,0.801,0.7663236496912577,0.801,0.693262932021014
283,54.27016167271878,0.8015,0.765587293036647,0.8015,0.6931216818767983
284,54.21101926893118,0.8045,0.7692649781618206,0.8045,0.6968690291427568
285,54.185634384028745,0.8035,0.7679831769824802,0.8035,0.6952073254668487
286,54.293113692707706,0.8015,0.7669421509463082,0.8015,0.6936946473243224
287,54.198629717270144,0.7985,0.7607193525362397,0.7985,0.6867374401722799
288,54.08550562265261,0.799,0.7614001550884948,0.799,0.6876270677037809
289,54.10307556420372,0.799,0.7616250088236386,0.799,0.6871563811952894
290,54.210950474490915,0.798,0.7615666294465953,0.798,0.6862553614058111
291,54.080718226665454,0.7935,0.7561570454351108,0.7935,0.677950003703887
292,54.09963551836844,0.798,0.7614615253289935,0.798,0.6864338045654557
293,54.12803905063034,0.7975,0.7626597027571982,0.7975,0.687739307950311
294,53.895737576414035,0.796,0.7585914620113228,0.796,0.6822941053507389
295,54.11076812209493,0.798,0.7610174017042278,0.798,0.6862408287903742
296,53.982346906287354,0.795,0.7573328905190728,0.795,0.6810247172335906
297,54.103285543308175,0.7915,0.7545639834051232,0.7915,0.6760063989662296
298,53.95893276202469,0.794,0.7556644430346897,0.794,0.678944046732664
299,54.047098024775586,0.791,0.7539271297112701,0.791,0.676082440806178
300,54.1126293531731,0.7925,0.7554807708669058,0.7925,0.6781145651592447
