epoch,stage,train_loss,ACC,NMI,ARI
1,warmup,3.241633504629135,0.845,0.7731211271202243,0.7043483932350726
2,warmup,2.9447734653949738,0.702,0.7551636030683693,0.6376649044824645
3,warmup,2.79858735203743,0.8505,0.819977878464113,0.7402084901709393
4,warmup,2.734129399061203,0.803,0.8325012486686894,0.7412431390210106
5,warmup,2.6966214776039124,0.9395,0.8927539249203345,0.860476863699977
6,warmup,2.6697935461997986,0.9535,0.9107851591742994,0.8958529874457081
7,warmup,2.6524696946144104,0.963,0.920903684892682,0.9187592658705019
8,warmup,2.636144280433655,0.9635,0.9230320564921346,0.9192877230569961
9,warmup,2.624980539083481,0.9545,0.9105720504108538,0.897687006218884
10,warmup,2.61467906832695,0.839,0.8398803626502833,0.7517426457483875
11,warmup,2.608640283346176,0.955,0.9122458864363893,0.8999908559047517
12,warmup,2.6023585200309753,0.968,0.9311398192396385,0.9297712540539436
13,warmup,2.5966280102729797,0.9605,0.9195587873286404,0.9115915369283373
14,warmup,2.5900278985500336,0.8395,0.8461425925536848,0.7593222166848188
15,warmup,2.5871105790138245,0.741,0.8216772025952193,0.706547608411678
16,warmup,2.581390380859375,0.83,0.8386554502901675,0.7450004131816857
17,warmup,2.5768137872219086,0.9685,0.9297655917637607,0.9305332030511807
18,warmup,2.5770144164562225,0.837,0.8440294011324548,0.7530110375928067
19,warmup,2.5746220350265503,0.8325,0.8418471949104387,0.7491009047082793
20,warmup,2.569000631570816,0.854,0.8949339312278971,0.8305595600155086
21,universum,0.2637830004096031,0.854,0.895460499961968,0.8308422197624142
22,universum,0.26253222301602364,0.8395,0.8962713796181473,0.8131577499345863
23,universum,0.2612530291080475,0.8385,0.8958055237426568,0.8132902390883384
24,universum,0.26083436980843544,0.8335,0.8435140740390918,0.7517616980709166
25,universum,0.26039860397577286,0.966,0.9287140953459037,0.924782974957018
26,universum,0.2601582668721676,0.816,0.8697603699833515,0.7450648891896337
27,universum,0.2594301216304302,0.833,0.8426540488478387,0.7504618778415999
28,universum,0.259404931217432,0.8325,0.8426703882267982,0.7499025503719258
29,universum,0.25909576192498207,0.835,0.8446649867537577,0.7546450093216762
30,universum,0.2587316706776619,0.835,0.8446649867537577,0.7546450093216762
31,universum,0.2581283710896969,0.833,0.8963213194159785,0.8131213829271609
32,universum,0.2583952359855175,0.839,0.8974900748127613,0.812997238380268
33,universum,0.25807812809944153,0.961,0.9260444296191883,0.9146704592125966
34,universum,0.25800689682364464,0.845,0.8931239589876903,0.8129790080473895
35,universum,0.2582263983786106,0.8395,0.8492533823409074,0.7638619423745381
36,universum,0.2575833722949028,0.7435,0.7955734068444696,0.6876382517561074
37,universum,0.2570701204240322,0.797,0.8490971754483261,0.7405472623980597
38,universum,0.256841404363513,0.832,0.8962746616883873,0.8129852915858934
39,universum,0.25651785731315613,0.961,0.9260444296191883,0.9146704592125966
40,universum,0.25614915788173676,0.837,0.8481899596661807,0.7620019392502688
