epoch,stage,train_loss,ACC,NMI,ARI
1,warmup,2.679548440835415,0.7911585365853658,0.9089416971056065,0.7462808553234587
2,warmup,2.454351211205507,0.7447154471544716,0.9067217283006964,0.7168770984134326
3,warmup,2.4156571596096725,0.8283536585365854,0.9365077645209221,0.794195925292063
4,warmup,2.399672187291659,0.8238821138211382,0.9361697250769252,0.8062094565567003
5,warmup,2.3938116905016775,0.8768292682926829,0.9562116392334203,0.8639198286097481
6,warmup,2.3846478217687364,0.836890243902439,0.9495459106432468,0.8381899496875332
7,warmup,2.380294848711063,0.8664634146341463,0.9560586112722359,0.8573454629630811
8,warmup,2.3754267386901073,0.8778455284552845,0.9627185803460078,0.8738699414655704
9,warmup,2.3704094275450096,0.8921747967479675,0.95798383061302,0.881118981862167
10,warmup,2.3676457588489237,0.8658536585365854,0.9628838247429099,0.8683750339461682
11,warmup,2.3657046373073873,0.8494918699186992,0.9621426303367113,0.8508369289285501
12,warmup,2.3654692448102512,0.8733739837398374,0.9544415461896951,0.8593702490823116
13,warmup,2.361984448555188,0.8873983739837399,0.9538853321666901,0.8659442816044073
14,warmup,2.3615270119446974,0.8512195121951219,0.958091129849047,0.8402238925054695
15,warmup,2.3615495486137195,0.8449186991869919,0.957580823694024,0.8518028083368301
16,warmup,2.3569131325452757,0.8711382113821138,0.9598914441103077,0.8676502108702391
17,warmup,2.3580888356917944,0.8572154471544715,0.9542408168888376,0.8540238993359279
18,warmup,2.356776408660106,0.8619918699186991,0.9499653310072251,0.8468879401545836
19,warmup,2.353563137543507,0.8475609756097561,0.961493530686054,0.8469563280261235
20,warmup,2.3524995064124083,0.8616869918699187,0.9571493295344153,0.8451684800167203
21,universum,0.2379494832876401,0.8777439024390243,0.9713643121779961,0.8747313245897188
22,universum,0.23788761748717382,0.8377032520325203,0.9598718345794837,0.8378003081943725
23,universum,0.23760300339796606,0.8294715447154472,0.9589387088026003,0.834159407637183
24,universum,0.23777429835918623,0.8788617886178862,0.9621470121039314,0.8739285738898614
25,universum,0.23742341880614942,0.8512195121951219,0.9578215647915578,0.8527282377006519
26,universum,0.23790608881375727,0.8211382113821138,0.9469906742139621,0.824563232722775
27,universum,0.237571453054746,0.8601626016260162,0.9510071953595666,0.8479392603540529
28,universum,0.23774262116505548,0.8515243902439025,0.9586146174274742,0.8439199838338751
29,universum,0.2374069732733262,0.8612804878048781,0.9556827816053995,0.8551316108223779
30,universum,0.2373114763162075,0.8494918699186992,0.9565807603158791,0.8506590408336265
31,universum,0.23700993756453195,0.8690040650406504,0.9566784504604071,0.858768425567583
32,universum,0.23794239224531713,0.8536585365853658,0.9503163576808614,0.8447307991123552
33,universum,0.2371456646002256,0.8608739837398374,0.9560054634182386,0.8556418966241227
34,universum,0.23732889691988626,0.8758130081300813,0.9627914459358958,0.8749464995277271
35,universum,0.2375640467955516,0.8389227642276422,0.9588546337357313,0.8512493813501
36,universum,0.23754185629196656,0.8773373983739837,0.955054444502163,0.8615868999502668
37,universum,0.23764847868528122,0.8504065040650407,0.9575091158716887,0.8532265414257025
38,universum,0.23758041285551512,0.8729674796747967,0.9556380324742273,0.8646938899771077
39,universum,0.23730712899794945,0.8529471544715447,0.957476604973362,0.8526110655879254
40,universum,0.2377179700594682,0.8683943089430894,0.9555188525611437,0.8562966020975569
