epoch,stage,train_loss,ACC,NMI,ARI
1,warmup,3.2405557930469513,0.8615,0.8021752497666051,0.7240269025048411
2,warmup,2.9409133195877075,0.8975,0.833292638916206,0.7635891334363659
3,warmup,2.799095243215561,0.9175,0.860362192061593,0.8099738082275744
4,warmup,2.733439177274704,0.9365,0.8874521550591117,0.8556182606131832
5,warmup,2.698883980512619,0.9465,0.8975549620121189,0.8800724964658174
6,warmup,2.6757509112358093,0.962,0.9176542688370555,0.9159211436136283
7,warmup,2.654249995946884,0.966,0.9243743565901495,0.9250822602151794
8,warmup,2.6410842835903168,0.9555,0.9103537518254741,0.9013656663336695
9,warmup,2.631251871585846,0.955,0.9103662426382494,0.9000013813805852
10,warmup,2.620971769094467,0.9535,0.9115224970599771,0.895673670198939
11,warmup,2.6142702102661133,0.9535,0.9099696547446043,0.8962132286754831
12,warmup,2.606918513774872,0.953,0.9091900157088452,0.8954292152390874
13,warmup,2.6003532707691193,0.952,0.9104050682026504,0.8923291625943518
14,warmup,2.5936628580093384,0.9515,0.9090664994525773,0.8913536047014717
15,warmup,2.590337425470352,0.8235,0.8845003812344395,0.7998580666718929
16,warmup,2.5873816311359406,0.9535,0.911184427352889,0.896415601724485
17,warmup,2.5817366540431976,0.951,0.9084699859874187,0.8909222395896489
18,warmup,2.580252468585968,0.9515,0.9083516760799338,0.8923458722926693
19,warmup,2.575275272130966,0.9255,0.884667230964303,0.8282467692636775
20,warmup,2.570900708436966,0.833,0.8628175281800716,0.7879975223912711
21,universum,0.26851218938827515,0.954,0.9124813811790375,0.8979103352720824
22,universum,0.26704902201890945,0.9485,0.9052940270164255,0.884454178038844
23,universum,0.2664131782948971,0.9235,0.8839354479491769,0.824633893948193
24,universum,0.2660868987441063,0.9235,0.883594251760381,0.8245446053106326
25,universum,0.2656603194773197,0.9545,0.9134606881745456,0.8989812711156779
26,universum,0.26475923880934715,0.9555,0.9144342497584952,0.9015729000641558
27,universum,0.26475824415683746,0.9345,0.8931511186434187,0.8503928898635262
28,universum,0.26399458199739456,0.9345,0.8934534404829401,0.8501378100336712
29,universum,0.2642637528479099,0.9555,0.9144342497584952,0.9015729000641558
30,universum,0.26399725303053856,0.804,0.8523183060129034,0.7512605551858411
31,universum,0.2635251469910145,0.9545,0.9123195437729578,0.8995767422412292
32,universum,0.2629271298646927,0.9545,0.9123195437729578,0.8995767422412292
33,universum,0.2627355456352234,0.9545,0.9123195437729578,0.8995767422412292
34,universum,0.263079222291708,0.809,0.8607472212293262,0.7700122736942998
35,universum,0.26263588666915894,0.9545,0.9130358910536002,0.8991056977598268
36,universum,0.2621992193162441,0.9345,0.8938396789589845,0.8498890334420796
37,universum,0.26192837208509445,0.82,0.8481102613250425,0.7552581414955811
38,universum,0.2618436925113201,0.8365,0.8847883402616802,0.8003104717605389
39,universum,0.26187990233302116,0.9535,0.9109273931960178,0.8971435436294064
40,universum,0.26106322929263115,0.9555,0.9142061993388341,0.9020175403191892
