epoch,stage,train_loss,ACC,NMI,ARI
1,warmup,2.8528230086616846,0.19958056623558196,0.17014513030907563,0.04763948449211263
2,warmup,2.7908206918965215,0.32401258301293256,0.16985900907008183,-0.05267632581746334
3,warmup,2.718534117159636,0.33816847256204124,0.23898010478043827,-0.012891622486092548
4,warmup,2.6349307454150654,0.3647326109751835,0.24292668225652564,0.0004600508842203096
5,warmup,2.5724117133928384,0.3551205872072702,0.2620332855121369,0.014964629135807797
6,warmup,2.525423640790193,0.3495281370150297,0.2804307064145304,0.06002716229730378
7,warmup,2.495862712030825,0.34044040545263893,0.25194719536880544,0.04453234794451644
8,warmup,2.4757151914679487,0.3206920657112898,0.28049573522187526,0.0313337180847448
9,warmup,2.457180862841399,0.39252009786787834,0.29674344432331873,0.08363732259190709
10,warmup,2.4463104320609053,0.40510311080041944,0.31154486213050925,0.05950592366079512
11,warmup,2.433502145435499,0.30618664802516604,0.2889877195517901,0.03219481292381162
12,warmup,2.423427773558575,0.2862635442153093,0.26378869547025996,-0.019233239990320904
13,warmup,2.4151555973550547,0.3121286263544215,0.2659398023444183,-0.019059858273728924
14,warmup,2.409648915995722,0.3914715134568333,0.2931170082275056,0.026888113404721557
15,warmup,2.404754773430202,0.33117790982174067,0.19585943752112098,-0.02377393705995226
16,warmup,2.398673524027285,0.26511709192590005,0.27438287481128865,-0.013665095111128792
17,warmup,2.398786150890848,0.3823837818944425,0.2699392808170816,0.01577310217327396
18,warmup,2.3930084394372027,0.31335197483397415,0.26344004929971887,0.0017245972238377827
19,warmup,2.390556625697924,0.3206920657112898,0.25249667176821355,-0.016291865339187105
20,warmup,2.387473982313405,0.3322264942327857,0.2923404575403054,-0.016464859184155786
21,universum,0.16387995105722677,0.37836420831876966,0.29674573482115435,0.018649585859295145
22,universum,0.1635430124790772,0.33677036001398114,0.28856395311710037,0.005385667776639503
23,universum,0.16265150645504828,0.33869276476756377,0.2626059387871657,-0.018597204136237874
24,universum,0.1623662178931029,0.3332750786438308,0.3056107543331528,-0.008371525522632435
25,universum,0.1619178251079891,0.3895491087032506,0.28628380322726915,0.043999937864713866
26,universum,0.1623352111681648,0.3168472562041244,0.23448243880831346,-0.07247013332199584
27,universum,0.16142123613668524,0.3727717581265292,0.25998219109928583,0.010554171085264068
28,universum,0.16117307090240976,0.3509262495630898,0.2520961935537986,-0.01875721895380724
29,universum,0.16127697410790817,0.35547011534428524,0.2683537958122852,-0.025769951664030497
30,universum,0.16093768762505573,0.3774903879762321,0.26530994745745795,-0.02037971586160683
31,universum,0.1603893423857896,0.37783991611324713,0.2503351777268539,-0.023942247954584245
32,universum,0.16042477605135544,0.3068857042991961,0.2014821961681931,-0.07065161073283267
33,universum,0.16005246406016144,0.341139461726669,0.2181181246683333,-0.00818718618601903
34,universum,0.15986775704052136,0.32348829080741,0.2726037061573918,-0.009357617033478718
35,universum,0.15960095174934552,0.2986717930793429,0.2448360499618787,-0.030266998830799856
36,universum,0.15915505328904028,0.346906675987417,0.2595155907730076,0.009899495808806611
37,universum,0.15938241844591888,0.30181754631247815,0.26420323568417875,-0.025060579995407842
38,universum,0.15893681865671408,0.3074099965047186,0.26050164695530537,-0.0227005972987419
39,universum,0.15842978137990701,0.33205173016427825,0.2090394212489492,-0.019042826779563378
40,universum,0.1588536941486856,0.335022719328906,0.23140914045179142,-0.023466322516638667
